year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,44726.43,9138.31,59918.55,48336.91
2018,45031.06,9121.92,59918.55,49579.47
2019,45259.54,9105.05,59918.55,49579.47
2020,45564.17,9088.15,59918.55,50822.02
2021,45868.8,9071.54,59918.55,52064.58
2022,46097.28,9055.0,59918.55,53307.13
2023,46401.91,9038.62,59918.55,53307.13
2024,46706.54,9022.09,59918.55,54549.69
2025,46935.01,9005.64,59918.55,55792.25
2026,47239.65,8989.16,59918.55,55792.25
2027,47544.28,8973.03,59918.55,57034.8
2028,47772.75,8957.13,59918.55,58277.36
2029,48077.39,8939.03,59918.55,59519.91
2030,48382.02,8921.52,59918.55,59519.91
2031,48686.65,8904.77,59918.55,60762.47
2032,48915.12,,,62005.03
2033,49143.6,,,62005.03
2034,49372.07,,,63247.58
2035,49676.71,,,64490.14
2036,49905.18,,,64490.14
