year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9138.30900995,5939.90085647
2018,9121.92045278,5929.24829431
2019,9105.05113264,5918.28323622
2020,9088.14985042,5907.29740277
2021,9071.54088807,5896.50157725
2022,9055.00051102,5885.75033216
2023,9038.62061025,5875.10339666
2024,9022.09022134,5864.35864387
2025,9005.64439878,5853.66885921
2026,8989.16128713,5842.95483663
2027,8973.03308775,5832.47150703
2028,8957.12595943,5822.13187363
2029,8939.0334238,5810.37172547
2030,8921.52353028,5798.99029469
2031,8904.76807506,5788.09924879
