year,Base case cost,Modeled diesel efficiency
2019,129442.274258,305392.848358
2020,138059.431548,308826.985833
2021,144486.723786,310373.453501
2022,149355.172563,310603.490561
2023,153126.295927,309934.298732
2024,156466.909773,308969.769425
2025,160048.399483,308318.002191
2026,164393.971161,308452.440876
2027,168306.748579,308282.869627
2028,171504.185209,307550.331716
2029,175963.232446,308050.008619
2030,179013.467667,307352.244265
2031,184035.539504,308528.403286
2032,188323.231031,309116.382013
2033,193134.344949,310257.775565
2034,197982.014752,311508.159884
2035,201687.425866,311794.109733
2036,206607.445858,313256.498039
2037,210379.114513,313745.485841
2038,215371.484694,315413.103913
