year,annotation,diesel generation efficiency
2002,,14.46
2003,,13.51
2004,,12.24
2005,,12.11
2006,,12.27
2007,,13.04
2008,,12.27
2009,,12.56
2010,,12.79
2011,,13.04
2012,,12.15
2013,,13.23
2014,,13.04
2015,,13.12
2016,start of forecast,13.13
2017,,13.13
2018,,13.13
2019,,13.13
2020,,13.13
2021,,13.13
2022,,13.13
2023,,13.13
2024,,13.13
2025,,13.13
2026,,13.13
2027,,13.13
2028,,13.13
2029,,13.13
2030,,13.13
2031,,13.13
2032,,13.13
2033,,13.13
2034,,13.13
2035,,13.13
2036,,13.13
2037,,13.13
2038,,13.13
2039,,13.13
2040,,13.13
