year,annotation,diesel generation efficiency
2003,,13.78
2004,,11.61
2005,,13.45
2006,,10.6
2007,,12.18
2008,,13.51
2009,,11.61
2010,,13.63
2011,,14.07
2012,,13.64
2013,,14.21
2014,start of forecast,13.98
2015,,13.98
2016,,13.98
2017,,13.98
2018,,13.98
2019,,13.98
2020,,13.98
2021,,13.98
2022,,13.98
2023,,13.98
2024,,13.98
2025,,13.98
2026,,13.98
2027,,13.98
2028,,13.98
2029,,13.98
2030,,13.98
2031,,13.98
2032,,13.98
2033,,13.98
2034,,13.98
2035,,13.98
2036,,13.98
2037,,13.98
2038,,13.98
2039,,13.98
2040,,13.98
