year,annotation,Average Load
2003,,2830.0
2004,,2859.0
2005,,2910.0
2006,,2922.0
2007,,3012.0
2008,,2908.0
2009,,2961.0
2010,,2963.0
2011,,3067.0
2012,,3071.0
2013,,3163.0
2014,start of forecast,3076.0
2015,,3075.0
2016,,3074.0
2017,,3073.0
2018,,3073.0
2019,,3073.0
2020,,3073.0
2021,,3072.0
2022,,3073.0
2023,,3073.0
2024,,3073.0
2025,,3074.0
2026,,3074.0
2027,,3075.0
2028,,3075.0
2029,,3077.0
2030,,3078.0
2031,,3079.0
2032,,3079.0
2033,,3079.0
2034,,3079.0
2035,,3079.0
2036,,3080.0
2037,,3081.0
2038,,3082.0
2039,,3082.0
2040,,3083.0
