year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,34154.0,26863.4831463
2018,34393.0,27102.4831463
2019,34394.0,27103.4831463
2020,34394.0,27103.4831463
2021,34394.0,27103.4831463
2022,34394.0,27103.4831463
2023,34393.0,27102.4831463
2024,34154.0,26863.4831463
2025,34153.0,26862.4831463
2026,34152.0,26861.4831463
2027,34151.0,26860.4831463
2028,34150.0,26859.4831463
2029,33907.0,26616.4831463
2030,33904.0,26613.4831463
2031,33664.0,26373.4831463
2032,33663.0,26372.4831463
2033,33663.0,26372.4831463
2034,33664.0,26373.4831463
2035,33663.0,26372.4831463
2036,33661.0,26370.4831463
