year,Base case cost,Modeled biomass for heat (pellet)
2017,78940.9331876,93938.907195
2018,88779.4494367,101622.777431
2019,101163.87076,111200.770438
2020,107354.79076,115901.817083
2021,111482.07076,118980.816779
2022,114921.47076,121521.811303
2023,116981.709437,122979.234406
2024,117876.493188,123347.983953
2025,120263.751864,125067.183441
2026,122992.390541,127058.554394
2027,125037.849218,128516.165677
2028,127083.187895,129977.182344
2029,128552.396353,130792.606381
2030,129897.182383,131705.685565
2031,131670.784811,132759.243741
2032,134696.543488,134995.259315
2033,137389.583488,136974.592552
2034,140423.424811,139224.879727
2035,142102.403488,140414.911045
2036,145123.450841,142658.306495
