year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,4630.86065043,3010.05942278
2018,4632.27470229,3010.97855649
2019,4632.70203811,3011.25632477
2020,4633.02707462,3011.4675985
2021,4633.41141234,3011.71741802
2022,4633.09790137,3011.51363589
2023,4632.44348266,3011.08826373
2024,4631.23394846,3010.3020665
2025,4630.01982563,3009.51288666
2026,4628.86281767,3008.76083148
2027,4628.05702836,3008.23706843
2028,4627.31386027,3007.75400917
2029,4623.30958433,3005.15122981
2030,4620.01924425,3003.01250876
2031,4617.5422782,3001.40248083
