year,Base case diesel consumed,Modeled diesel efficiency
2019,503862.042312,458056.402102
2020,507081.140593,460982.855085
2021,510227.07755,463842.797772
2022,513226.691857,466569.71987
2023,516226.306164,469296.641968
2024,519006.436498,471824.03318
2025,522006.050805,474550.955278
2026,524859.342464,477144.856785
2027,527858.956771,479871.778883
2028,530858.571078,482598.70098
2029,533272.894789,484793.540717
2030,535833.541149,487121.401045
2031,538613.671483,489648.792257
2032,541686.447115,492442.22465
2033,544905.545396,495368.677632
2034,548124.643677,498295.130615
2035,551343.741958,501221.583598
2036,554343.356265,503948.505696
2037,557269.809248,506608.917498
2038,560269.423555,509335.839596
