year,Base case cost,Wainwright wind turbine design,Modeled wind power
2019,1577088.19244,1784213.11166,1800091.87645
2020,1678438.57536,1860226.19416,1866495.27722
2021,1755181.14677,1915964.60389,1914792.40404
2022,1816822.48917,1959295.53218,1952000.47208
2023,1863576.96525,1990427.63642,1978327.08215
2024,1899563.55758,2012657.55314,1996643.39181
2025,1947082.5695,2045013.04683,2024278.36951
2026,1999714.09479,2081885.67231,2056047.03313
2027,2042814.1627,2111076.59334,2081022.92678
2028,2086274.18434,2140838.60487,2106609.01277
2029,2138424.3081,2177863.35767,2138647.13119
2030,2170125.84165,2197907.97397,2155440.19197
2031,2224474.46322,2237529.21665,2190148.5071
2032,2285916.80682,2283619.43458,2230936.91327
2033,2343093.8452,2326448.64889,2268923.49234
2034,2406267.18574,2374640.52278,2311882.19932
2035,2447966.21429,2404804.02239,2338543.44098
2036,2511175.40388,2453385.23324,2381956.94972
2037,2552295.72636,2483315.22988,2408448.61889
2038,2616458.208,2533186.84517,2453214.96419
