year,Base case cost,Modeled solar power
2020,1678438.57536,1729591.20174
2021,1755181.14677,1804010.46057
2022,1816822.48917,1863595.55547
2023,1863576.96525,1908554.61534
2024,1899563.55758,1942929.50005
2025,1947082.5695,1988734.48675
2026,1999714.09479,2039622.04721
2027,2042814.1627,2081156.92667
2028,2086274.18434,2123088.84366
2029,2138424.3081,2173610.72638
2030,2170125.84165,2203992.27758
2031,2224474.46322,2256784.96776
2032,2285916.80682,2316640.86052
2033,2343093.8452,2372333.8375
2034,2406267.18574,2433992.12002
2035,2447966.21429,2474470.87864
2036,2511175.40388,2536231.84234
2037,2552295.72636,2576193.14116
2038,2616458.208,2638971.40767
2039,2670588.80883,2691875.66625
