year,Base case diesel consumed,Modeled solar power
2020,507081.140593,499749.910808
2021,510227.07755,502954.497603
2022,513226.691857,506012.29255
2023,516226.306164,509069.622052
2024,519006.436498,511907.005858
2025,522006.050805,514963.415611
2026,524859.342464,517873.048351
2027,527858.956771,520928.553011
2028,530858.571078,523983.610548
2029,533272.894789,526452.933943
2030,535833.541149,529068.13999
2031,538613.671483,531902.393533
2032,541686.447115,535028.859389
2033,544905.545396,538301.218371
2034,548124.643677,541573.151269
2035,551343.741958,544844.661489
2036,554343.356265,547896.26844
2037,557269.809248,550874.298125
2038,560269.423555,553925.076522
2039,563415.360512,557121.768255
