year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,497277.52,12656.22,261282.25,187964.0
2018,500642.94,12665.13,261282.25,190765.12
2019,503862.04,12673.62,261282.25,192165.68
2020,507081.14,12681.99,261282.25,194966.8
2021,510227.08,12690.3,261282.25,197767.92
2022,513226.69,12698.21,261282.25,199168.48
2023,516226.31,12705.98,261282.25,201969.6
2024,519006.44,12713.37,261282.25,203370.16
2025,522006.05,12721.17,261282.25,206171.27
2026,524859.34,12728.73,261282.25,207571.83
2027,527858.96,12736.61,261282.25,210372.95
2028,530858.57,12744.45,261282.25,211773.51
2029,533272.89,12750.93,261282.25,214574.63
2030,535833.54,12757.67,261282.25,215975.19
2031,538613.67,12764.82,261282.25,217375.75
2032,541686.45,12772.99,261282.25,220176.87
2033,544905.55,12781.47,261282.25,222977.99
2034,548124.64,12789.93,261282.25,224378.55
2035,551343.74,12798.27,261282.25,227179.67
2036,554343.36,12806.24,261282.25,229980.79
2037,557269.81,12813.86,261282.25,231381.35
2038,560269.42,12821.79,261282.25,234182.47
2039,563415.36,12830.1,261282.25,235583.03
2040,566780.78,12838.82,261282.25,238384.15
