year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,12656.2164153,8226.54066997
2018,12665.1300876,8232.33455696
2019,12673.6171388,8237.85114024
2020,12681.990629,8243.29390885
2021,12690.3047365,8248.69807873
2022,12698.20877,8253.83570049
2023,12705.9804268,8258.88727742
2024,12713.3720345,8263.69182245
2025,12721.1714478,8268.76144105
2026,12728.7318624,8273.67571058
2027,12736.6141445,8278.79919392
2028,12744.4485201,8283.89153806
2029,12750.9321735,8288.10591277
2030,12757.6737745,8292.48795344
2031,12764.8201118,8297.13307269
