year,Base case diesel consumed,Wainwright wind turbine design,Modeled wind power
2019,503862.042312,407960.00009,358123.301598
2020,507081.140593,411179.098372,361342.399879
2021,510227.07755,414325.035328,364488.336835
2022,513226.691857,417324.649635,367487.951143
2023,516226.306164,420324.263943,370487.56545
2024,519006.436498,423104.394276,373267.695784
2025,522006.050805,426104.008584,376267.310091
2026,524859.342464,428957.300242,379120.601749
2027,527858.956771,431956.914549,382120.216057
2028,530858.571078,434956.528857,385119.830364
2029,533272.894789,437370.852568,387534.154075
2030,535833.541149,439931.498927,390094.800435
2031,538613.671483,442711.629261,392874.930769
2032,541686.447115,445784.404893,395947.7064
2033,544905.545396,449003.503174,399166.804682
2034,548124.643677,452222.601455,402385.902963
2035,551343.741958,455441.699736,405605.001244
2036,554343.356265,458441.314044,408604.615551
2037,557269.809248,461367.767026,411531.068534
2038,560269.423555,464367.381334,414530.682841
