year,Base case cost,Modeled diesel efficiency
2019,1577088.19244,1883474.38739
2020,1678438.57536,1965069.89954
2021,1755181.14677,2024541.73334
2022,1816822.48917,2070526.44605
2023,1863576.96525,2103213.25808
2024,1899563.55758,2126341.1768
2025,1947082.5695,2160177.81258
2026,1999714.09479,2198881.62059
2027,2042814.1627,2229134.75713
2028,2086274.18434,2259924.39181
2029,2138424.3081,2298818.48199
2030,2170125.84165,2319322.51773
2031,2224474.46322,2360609.71075
2032,2285916.80682,2408536.06957
2033,2343093.8452,2452770.74503
2034,2406267.18574,2502638.11484
2035,2447966.21429,2533160.63921
2036,2511175.40388,2583410.95737
2037,2552295.72636,2613749.53216
2038,2616458.208,2665200.60724
