year,Base case cost,Modeled diesel efficiency
2019,139350.820723,305047.616928
2020,148206.746845,313098.458857
2021,154950.846624,319229.458656
2022,159654.628693,323505.624173
2023,163061.968556,326603.205868
2024,165953.889062,329232.224509
2025,169391.875482,332357.666709
2026,173648.960774,336227.744247
2027,177120.379801,339383.579726
2028,180912.194645,342830.68413
2029,184869.315158,346428.066414
2030,187434.339062,348759.906327
2031,192270.922875,353156.800702
2032,196284.693082,356805.682709
2033,201177.92659,361254.076808
2034,206104.592706,365732.864185
2035,209691.16849,368993.387626
2036,214679.127719,373527.896015
2037,217854.2967,376414.413271
2038,222454.994897,380596.866178
