year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,57860.53,9776.18,42799.39,32584.41
2018,57860.53,9774.7,42799.39,32584.41
2019,57860.53,9772.97,42799.39,32584.41
2020,57860.53,9771.25,42799.39,32584.41
2021,57860.53,9769.54,42799.39,32584.41
2022,57860.53,9768.35,42799.39,32584.41
2023,57860.53,9767.38,42799.39,32584.41
2024,57860.53,9766.23,42799.39,33406.59
2025,57860.53,9764.73,42799.39,33406.59
2026,57860.53,9762.19,42799.39,33406.59
2027,57860.53,9759.61,42799.39,33406.59
2028,57860.53,9756.72,42799.39,33406.59
2029,57860.53,9753.8,42799.39,33406.59
2030,57860.53,9749.9,42799.39,34228.77
2031,57860.53,9746.29,42799.39,34228.77
