year,Base case cost,Phonograph creek (pelican),Cann creek (lisianski inlet)
2021,170511.880192,1839026.25097,422193.963958
2022,175758.399583,1837799.22399,421927.08559
2023,179955.615095,1836817.60241,421713.582897
2024,183103.52673,1836081.38623,421553.455876
2025,186776.090303,1835222.46734,421366.641019
2026,192022.609693,1833995.44037,421099.762652
2027,195695.173267,1833136.52149,420912.947795
2028,198843.084901,1832400.3053,420752.820775
2029,203564.952353,1831295.98102,420512.630244
2030,206188.212048,1830682.46753,420379.19106
2031,210910.079499,1829578.14326,420139.00053
2032,214030.179481,1826224.69687,417745.702754
2033,215004.993722,1821373.31938,413758.459012
2034,216825.408773,1816072.83343,409514.13653
2035,215601.836706,1810965.13354,404982.525808
2036,216192.526669,1805082.27714,400059.818014
2037,214299.154375,1799304.77703,394858.407065
2038,215404.061048,1793288.7827,389898.576205
2039,216199.558693,1788905.44325,386283.355643
2040,219100.268335,1784685.25189,383119.327752
2041,217398.518678,1782983.50223,381417.578095
2042,216547.64385,1782132.6274,380566.703266
2043,215696.769021,1781281.75257,379715.828438
2044,215271.331607,1780856.31516,379290.391024
2045,215696.769021,1781281.75257,379715.828438
2046,216973.081264,1782558.06482,380992.140681
2047,218674.830921,1784259.81447,382693.890338
2048,221227.455407,1786812.43896,385246.514823
2049,224205.517306,1789790.50086,388224.576723
2050,228034.454034,1793619.43759,392053.513451
