year,Base case diesel consumed,Modeled non-residential ashp
2017,66838.3804313,49680.0973508
2018,66838.3804313,49680.0973508
2019,66838.3804313,49680.0973508
2020,66838.3804313,49680.0973508
2021,64958.1931175,47799.910037
2022,64958.1931175,47799.910037
2023,64958.1931175,47799.910037
2024,64958.1931175,47799.910037
2025,63078.0058037,45919.7227233
2026,63078.0058037,45919.7227233
2027,63078.0058037,45919.7227233
2028,61197.8184899,44039.5354095
2029,61197.8184899,44039.5354095
2030,59317.6311762,42159.3480957
2031,59317.6311762,42159.3480957
