year,Base case diesel consumed,Modeled solar power (pv)
2016,52465.1939053,51727.6267102
2017,52465.1939053,51733.5272477
2018,52465.1939053,51739.380581
2019,52465.1939053,51745.1870876
2020,52465.1939053,51750.9471421
2021,52465.1939053,51756.6611162
2022,52465.1939053,51762.3293786
2023,52465.1939053,51767.9522948
2024,52465.1939053,51773.5302277
2025,52465.1939053,51779.0635371
2026,52465.1939053,51784.55258
2027,52465.1939053,51789.9977106
2028,52465.1939053,51795.3992802
2029,52465.1939053,51800.7576372
2030,52465.1939053,51806.0731273
2031,52465.1939053,51811.3460936
2032,51949.0726896,51300.4556603
2033,51070.0697676,50426.6416746
2034,50191.0668456,49552.7861773
2035,49224.1636315,48590.9892085
