year,Base case diesel consumed,Modeled residential energy efficiency
2017,44042.5089611,31862.4852157
2018,44042.5089611,31862.4852157
2019,44042.5089611,31862.4852157
2020,44042.5089611,31862.4852157
2021,42803.5775854,30623.5538401
2022,42803.5775854,30623.5538401
2023,42803.5775854,30623.5538401
2024,42803.5775854,30623.5538401
2025,41564.6462097,29384.6224644
2026,41564.6462097,29384.6224644
2027,41564.6462097,29384.6224644
2028,40325.7148341,28145.6910887
2029,40325.7148341,28145.6910887
2030,39086.7834584,26906.759713
2031,39086.7834584,26906.759713
2032,39086.7834584,26906.759713
2033,39086.7834584,26906.759713
2034,39086.7834584,26906.759713
2035,37847.8520827,25667.8283373
2036,37847.8520827,25667.8283373
