year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,5261.36518723,3419.8873717
2018,5264.07193536,3421.64675798
2019,5266.67017603,3423.33561442
2020,5269.14398402,3424.94358961
2021,5271.42372023,3426.42541815
2022,5273.55122209,3427.80829436
2023,5275.3631886,3428.98607259
2024,5276.8631287,3429.96103366
2025,5278.23053855,3430.84985006
2026,5279.24354471,3431.50830406
2027,5279.91267401,3431.9432381
2028,5280.19554916,3432.12710695
2029,5280.30135742,3432.19588232
2030,5280.11403361,3432.07412185
2031,5279.67919404,3431.79147612
