year,annotation,Average Load
2003,,23157.0
2004,,23475.0
2005,,23708.0
2006,,24843.0
2007,,25502.0
2008,,26082.0
2009,,26638.0
2010,,26315.0
2011,,28443.0
2012,,29355.0
2013,,29331.0
2014,,28827.0
2015,start of forecast,28415.0
2016,,28483.0
2017,,28549.0
2018,,28613.0
2019,,28675.0
2020,,28733.0
2021,,28787.0
2022,,28837.0
2023,,28880.0
2024,,28915.0
2025,,28948.0
2026,,28972.0
2027,,28987.0
2028,,28994.0
2029,,28997.0
2030,,28992.0
2031,,28982.0
2032,,28960.0
2033,,28929.0
2034,,28890.0
2035,,28845.0
2036,,28797.0
2037,,28741.0
2038,,28678.0
2039,,28611.0
2040,,28538.0
