year,Base case cost,Modeled non-residential energy efficiency
2017,238730.539366,235171.92295
2018,247782.618787,243197.100998
2019,260229.227991,254602.214257
2020,266169.655111,259592.172624
2021,270129.939857,262643.999252
2022,273524.46964,265156.432629
2023,275504.612013,266289.461673
2024,277484.754387,267441.847435
2025,279464.89676,268613.136251
2026,282010.794097,270362.575324
2027,284273.813952,271850.196621
2028,286253.956326,273075.577636
2029,288799.853663,274877.841115
2030,290214.241072,275577.513388
2031,293043.015891,277692.807055
