year,Base case cost,Modeled biomass for heat (cordwood)
2017,275103.550283,289938.349966
2018,310146.373889,322369.844116
2019,355776.747858,364548.991413
2020,377557.880505,384512.416582
2021,392081.623151,397720.990857
2022,407247.426757,411720.60933
2023,414558.488081,418226.31342
2024,421873.730727,424743.479352
2025,429185.14205,431263.923846
2026,438584.533373,439737.942526
2027,446940.174697,447245.666246
2028,454247.684697,453782.55477
2029,463643.054697,462272.420633
2030,468862.704697,466875.579461
2031,479302.004697,476351.18248
2032,488692.693373,484854.871011
2033,499122.330727,494332.714846
2034,509556.449404,503820.783324
2035,516853.776757,510389.692774
2036,528326.224111,520856.50136
