year,Base case cost,Modeled biomass for heat (pellet)
2017,275103.550283,288297.837165
2018,310146.373889,320654.357203
2019,355776.747858,362670.177568
2020,377557.880505,382629.366887
2021,392081.623151,395879.798249
2022,407247.426757,409932.108682
2023,414558.488081,416522.619307
2024,421873.730727,423121.444618
2025,429185.14205,429720.475093
2026,438584.533373,438255.943486
2027,446940.174697,445829.253355
2028,454247.684697,452435.933156
2029,463643.054697,460978.660155
2030,468862.704697,465660.220205
2031,479302.004697,475176.221437
2032,488692.693373,483724.772366
2033,499122.330727,493237.868894
2034,509556.449404,502758.707393
2035,516853.776757,509379.164744
2036,528326.224111,519866.88376
