year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,102984.0,95209.8017483
2018,103682.0,95907.8017483
2019,103685.0,95910.8017483
2020,103687.0,95912.8017483
2021,103689.0,95914.8017483
2022,104387.0,96612.8017483
2023,104388.0,96613.8017483
2024,104390.0,96615.8017483
2025,104391.0,96616.8017483
2026,104392.0,96617.8017483
2027,104393.0,96618.8017483
2028,104393.0,96618.8017483
2029,104393.0,96618.8017483
2030,104393.0,96618.8017483
2031,104393.0,96618.8017483
2032,104392.0,96617.8017483
2033,104390.0,96615.8017483
2034,104389.0,96614.8017483
2035,104387.0,96612.8017483
2036,104385.0,96610.8017483
