year,Base case diesel consumed,Modeled wind power
2019,205368.044627,173623.311935
2020,205505.673705,173760.941012
2021,205505.673705,173760.941012
2022,205574.488243,173829.755551
2023,205574.488243,173829.755551
2024,205643.302782,173898.57009
2025,205712.117321,173967.384628
2026,205780.931859,174036.199167
2027,205918.560936,174173.828244
2028,205987.375475,174242.642783
2029,206056.190014,174311.457321
2030,206193.819091,174449.086399
2031,206262.633629,174517.900937
2032,206331.448168,174586.715476
2033,206400.262707,174655.530014
2034,206469.077245,174724.344553
2035,206537.891784,174793.159092
2036,206537.891784,174793.159092
2037,206606.706323,174861.97363
2038,206606.706323,174861.97363
