year,Base case cost,Modeled wind power
2019,1008357.09912,1340066.35617
2020,1060409.27632,1373350.2634
2021,1095345.24085,1392440.71899
2022,1122436.70581,1405264.17377
2023,1140938.40975,1411069.78942
2024,1157771.79466,1415768.89805
2025,1174616.1899,1420700.62265
2026,1197645.02342,1431028.53363
2027,1216978.69513,1438542.39815
2028,1231804.50534,1442424.5632
2029,1252821.63528,1451694.93353
2030,1266030.04922,1454692.96473
2031,1289141.46018,1466111.76573
2032,1312268.01035,1477733.41324
2033,1333345.69709,1487824.39302
2034,1358566.52827,1501567.75315
2035,1373476.98036,1506849.98957
2036,1396196.14846,1518772.10921
2037,1411123.80418,1524408.98559
2038,1435916.60894,1538399.38169
