year,Base case cost,Modeled water and wastewater efficiency
2017,123630.62463,115938.290125
2018,132222.827811,121256.635309
2019,143826.441322,128695.548239
2020,149220.931312,131811.413812
2021,152891.099386,133737.533024
2022,155700.05033,135076.761341
2023,157637.754137,135821.587278
2024,159377.116723,136442.339955
2025,161114.447537,137075.587923
2026,163520.86655,138190.398513
2027,165508.609733,139026.095629
2028,167054.218137,139565.619867
2029,169239.157987,140564.525155
2030,170571.029432,140979.772149
2031,172980.300089,142160.067845
