year,Base case cost,Modeled biomass for heat (cordwood)
2017,1623466.23582,1653600.37637
2018,1741091.83582,1735440.24348
2019,1899886.39582,1847841.3937
2020,1973402.39582,1897303.80737
2021,2023393.27582,1929486.15319
2022,2061621.59582,1953083.15533
2023,2088087.35582,1968092.18718
2024,2111612.47582,1981033.74407
2025,2135137.59582,1994079.67448
2026,2167484.63582,2013750.59257
2027,2193950.39582,2029172.34211
2028,2214534.87582,2040342.59014
2029,2243941.27582,2058130.82573
2030,2261585.11582,2067314.34979
2031,2293932.15582,2087460.1708
2032,,
2033,,
2034,,
2035,,
2036,,
