year,annotation,Average Load
2003,,261.0
2004,,290.0
2005,,287.0
2006,,297.0
2007,,321.0
2008,,321.0
2009,,290.0
2010,,308.0
2011,,314.0
2012,,316.0
2013,,303.0
2014,,292.0
2015,,285.0
2016,start of forecast,293.0
2017,,293.0
2018,,293.0
2019,,294.0
2020,,294.0
2021,,294.0
2022,,294.0
2023,,294.0
2024,,294.0
2025,,294.0
2026,,294.0
2027,,294.0
2028,,294.0
2029,,295.0
2030,,295.0
2031,,295.0
2032,,295.0
2033,,295.0
2034,,295.0
2035,,295.0
2036,,295.0
2037,,295.0
2038,,295.0
2039,,295.0
2040,,295.0
