year,Base case cost,Modeled solar power (pv)
2016,701652.675459,718326.990539
2017,814764.749734,829852.821381
2018,897157.635488,910999.173873
2019,1008357.09912,1020689.01229
2020,1060409.27632,1071849.93314
2021,1095345.24085,1106074.47693
2022,1122436.70581,1132550.03688
2023,1140938.40975,1150529.12025
2024,1157771.79466,1166871.85934
2025,1174616.1899,1183237.29733
2026,1197645.02342,1205740.43262
2027,1216978.69513,1224598.9913
2028,1231804.50534,1238999.09447
2029,1252821.63528,1259544.11686
2030,1266030.04922,1272366.60199
2031,1289141.46018,1295008.57348
2032,1312268.01035,1317676.58658
2033,1333345.69709,1338324.74026
2034,1358566.52827,1363089.82492
2035,1373476.98036,1377645.24598
