year,Base case cost,Fort yukon heat recovery
2016,,
2017,1623464.02376,1665628.46655
2018,1741089.46349,1705491.89117
2019,1899883.80712,1766687.39192
2020,1973399.70695,1785106.76555
2021,2023390.51884,1792042.76663
2022,2061618.78675,1793447.58652
2023,2088084.51069,1789311.11515
2024,2111609.59863,1784095.38733
2025,2135134.68658,1779281.3973
2026,2167481.6825,1779331.63749
2027,2193947.40644,1776783.73282
2028,2214531.8584,1771628.70359
2029,2243938.21833,1771310.96092
2030,2261582.03429,1765387.48906
2031,2293929.03021,1767265.64936
2032,,
2033,,
2034,,
2035,,
