year,Base case cost,Modeled wind power
2019,243386.899811,404247.628147
2020,259436.265885,417177.315412
2021,271918.493571,427360.832396
2022,281511.725096,435312.127706
2023,288916.156095,441567.203354
2024,295927.563897,447593.449427
2025,303486.368737,454002.898916
2026,312219.517435,461422.498642
2027,320262.709581,468316.335437
2028,327597.042254,474665.506381
2029,336613.734742,482368.649896
2030,343302.217674,488236.16472
2031,352501.638381,496122.036455
2032,362971.492787,505114.148267
2033,372385.146579,513214.253087
2034,383932.467382,523119.637675
2035,391403.84622,529770.048405
2036,403572.600495,540296.866464
2037,411225.132309,547128.430171
2038,422795.29414,557220.849408
