year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,,0.0,12369.86,5681.13
2018,,0.0,12369.86,5681.13
2019,,0.0,12369.86,4658.59
2020,,0.0,12369.86,4658.59
2021,,0.0,12369.86,4658.59
2022,,0.0,12369.86,4658.59
2023,,0.0,12369.86,4658.59
2024,,0.0,12369.86,4658.59
2025,,0.0,12369.86,4658.59
2026,,0.0,12369.86,4658.59
2027,,0.0,12369.86,4658.59
2028,,0.0,12369.86,3636.04
2029,,0.0,12369.86,3636.04
2030,,0.0,12369.86,3636.04
2031,,0.0,12369.86,3636.04
2032,,0.0,12369.86,3636.04
2033,,0.0,12369.86,3636.04
2034,,0.0,12369.86,3636.04
2035,,0.0,12369.86,3636.04
2036,,0.0,12369.86,3636.04
2037,,0.0,12369.86,2613.5
2038,,0.0,12369.86,2613.5
2039,,0.0,12369.86,2613.5
2040,,0.0,12369.86,2613.5
