year,Base case diesel consumed,Modeled residential ashp
2017,231351.514718,3084.68639848
2018,231351.514718,3084.68639848
2019,233075.505202,4808.67688284
2020,233075.505202,4808.67688284
2021,231351.514718,3084.68639848
2022,231351.514718,3084.68639848
2023,231351.514718,3084.68639848
2024,233075.505202,4808.67688284
2025,231351.514718,3084.68639848
2026,231351.514718,3084.68639848
2027,231351.514718,3084.68639848
2028,229627.524234,1360.69591411
2029,227903.533749,-363.29457026
2030,226179.543265,-2087.28505463
2031,224455.55278,-3811.275539
