year,Base case cost,Modeled solar power (pv)
2016,8191537.66969,8521282.54172
2017,9752906.56712,10060597.0366
2018,10904335.9298,11196426.4909
2019,12501272.9353,12771514.3244
2020,13280662.4115,13541406.9118
2021,13802236.3101,14057308.6295
2022,14195836.0515,14447155.5797
2023,14493191.4804,14742182.5047
2024,14727893.9011,14975500.7254
2025,14995196.6854,15241012.338
2026,15327127.1052,15570315.2469
2027,15634021.2465,15875074.0544
2028,15870054.8359,16109885.8004
2029,16172306.9344,16410091.9547
2030,16379280.9964,16616344.1783
2031,16714554.9348,16949233.64
2032,17081732.8215,17313661.0697
2033,17415399.9268,17645052.0612
2034,17781285.0928,18008300.4024
2035,18023020.582,18249091.8761
