year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,57820.0,41246.1120944
2018,57820.0,41246.1120944
2019,57820.0,41246.1120944
2020,57820.0,41246.1120944
2021,57820.0,41246.1120944
2022,57820.0,41246.1120944
2023,57820.0,41246.1120944
2024,57820.0,41246.1120944
2025,57820.0,41246.1120944
2026,57820.0,41246.1120944
2027,57820.0,41246.1120944
2028,57820.0,41246.1120944
2029,57820.0,41246.1120944
2030,57820.0,41246.1120944
2031,57820.0,41246.1120944
2032,,
2033,,
2034,,
2035,,
2036,,
