year,Base case cost,Modeled biomass for heat (pellet)
2017,166669.643207,194362.07602
2018,182281.043207,205498.526286
2019,203674.443207,220759.58776
2020,214660.243207,228596.349058
2021,221598.643207,233545.88251
2022,227380.643207,237670.493719
2023,230849.843207,240145.260445
2024,234319.043207,242620.027171
2025,237788.243207,245094.793896
2026,242413.843207,248394.482864
2027,246461.243207,251281.71071
2028,249930.443207,253756.477436
2029,253977.843207,256643.705283
2030,256868.843207,258706.010887
2031,261494.443207,262005.699855
2032,,
2033,,
2034,,
2035,,
2036,,
