year,Base case cost,Modeled biomass for heat (cordwood)
2017,166669.643207,222761.265869
2018,182281.043207,234304.529747
2019,203674.443207,250123.076543
2020,214660.243207,258246.114086
2021,221598.643207,263376.453587
2022,227380.643207,267651.736505
2023,230849.843207,270216.906256
2024,234319.043207,272782.076006
2025,237788.243207,275347.245757
2026,242413.843207,278767.472091
2027,246461.243207,281760.170133
2028,249930.443207,284325.339884
2029,253977.843207,287318.037926
2030,256868.843207,289455.679385
2031,261494.443207,292875.905719
2032,,
2033,,
2034,,
2035,,
2036,,
