year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,206637.73,2042.62,138647.22,38429.32
2018,208092.34,2026.21,138647.22,39343.08
2019,209825.58,2009.21,138647.22,39343.08
2020,211101.51,1993.79,138647.22,40256.84
2021,212736.48,1975.51,138647.22,41170.6
2022,214162.0,1960.25,138647.22,41170.6
2023,215092.83,1949.59,138647.22,42084.36
2024,216423.26,1935.12,138647.22,42084.36
2025,217823.74,1919.4,138647.22,42998.12
2026,219951.07,1895.64,138647.22,43911.88
2027,221644.0,1877.05,138647.22,43911.88
2028,223629.32,1854.81,138647.22,44825.64
2029,225319.44,1836.11,138647.22,45739.4
2030,227084.39,1816.75,138647.22,46653.16
2031,229142.92,1793.82,138647.22,47566.92
2032,230907.27,,,47566.92
2033,233186.49,,,48480.68
2034,235024.47,,,49394.44
2035,236935.98,,,50308.2
2036,238259.36,,,51221.96
