year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,2042.61720147,1705.31288899
2018,2026.21133151,1691.61617603
2019,2009.20550664,1677.41858075
2020,1993.78713182,1664.5462945
2021,1975.50748484,1649.28522769
2022,1960.25158393,1636.54858548
2023,1949.58623694,1627.64444344
2024,1935.12472692,1615.57101167
2025,1919.4033782,1602.44578263
2026,1895.63557552,1582.60283789
2027,1877.05495228,1567.09049604
2028,1854.80534847,1548.51504483
2029,1836.11352382,1532.90986464
2030,1816.74716608,1516.7415393
2031,1793.81770216,1497.59849559
