year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,138647.21806,102203.301364
2018,138647.21806,102203.301364
2019,138647.21806,102203.301364
2020,138647.21806,102203.301364
2021,138647.21806,102203.301364
2022,138647.21806,102203.301364
2023,138647.21806,102203.301364
2024,138647.21806,102203.301364
2025,138647.21806,102203.301364
2026,138647.21806,102203.301364
2027,138647.21806,102203.301364
2028,138647.21806,102203.301364
2029,138647.21806,102203.301364
2030,138647.21806,102203.301364
2031,138647.21806,102203.301364
