year,Base case diesel consumed,Modeled solar power
2020,51122.5851129,50349.6186291
2021,50882.5729762,50115.7902243
2022,50642.5608395,49881.9123496
2023,50402.5487029,49647.9854009
2024,50162.5365662,49414.0097706
2025,49922.5244295,49179.9858483
2026,49522.5042017,48785.9059291
2027,49282.492065,48551.7865786
2028,49042.4799283,48317.6200858
2029,48722.4637461,48003.4027823
2030,48242.4394727,47529.1309967
2031,47922.4232905,47214.8212822
2032,47602.4071083,46900.4659161
2033,47282.390926,46586.0652634
2034,47042.3787893,46351.623732
2035,46642.3585615,45957.1295447
2036,46322.3423793,45642.5951945
2037,46002.3261971,45328.0169898
2038,45762.3140604,45093.3993268
2039,45442.2978781,44778.7344624
