year,Base case cost,Modeled solar power
2020,183018.854704,187172.287803
2021,189283.171472,193206.72276
2022,193454.582407,197183.632884
2023,196065.914454,199627.469846
2024,198142.019436,201547.480168
2025,200688.548207,203934.199131
2026,203537.492269,206612.348639
2027,206000.816832,208923.394265
2028,207940.114896,210721.247235
2029,210968.268021,213589.774856
2030,210819.460496,213320.669099
2031,213734.007876,216082.552147
2032,216590.952343,218790.343693
2033,219390.293897,221443.969837
2034,222980.875461,224885.293652
2035,223883.321095,225669.295697
2036,226516.254235,228166.288756
2037,227711.514675,229248.996843
2038,230642.062864,232049.693766
2039,232664.565136,233952.009082
