year,Base case cost,Modeled water and wastewater efficiency
2017,45936.2281398,36034.9207069
2018,48665.1632184,38027.7299156
2019,52457.0456155,40806.2043265
2020,54190.4513586,42077.6681951
2021,55386.614083,42956.4241741
2022,56227.4364053,43573.6079296
2023,56802.6775366,43994.9248551
2024,57287.5770329,44351.522474
2025,57851.9810335,44774.5919858
2026,58572.8777364,45329.8513963
2027,59134.0659287,45753.9438646
2028,59613.1877991,46112.9494922
2029,60342.9205081,46668.8997299
2030,60585.1984059,46900.5653172
2031,61305.357409,47457.4048039
