year,Base case diesel consumed,Modeled residential energy efficiency
2017,57482.9439693,40241.6907114
2018,57482.9439693,40241.6907114
2019,56082.5150211,38841.2617633
2020,56082.5150211,38841.2617633
2021,56082.5150211,38841.2617633
2022,54682.086073,37440.8328152
2023,54682.086073,37440.8328152
2024,53281.6571248,36040.403867
2025,53281.6571248,36040.403867
2026,51881.2281767,34639.9749189
2027,51881.2281767,34639.9749189
2028,50480.7992286,33239.5459707
2029,50480.7992286,33239.5459707
2030,49080.3702804,31839.1170226
2031,47679.9413323,30438.6880744
2032,47679.9413323,30438.6880744
2033,47679.9413323,30438.6880744
2034,46279.5123841,29038.2591263
2035,46279.5123841,29038.2591263
2036,44879.083436,27637.8301781
