year,Base case cost,Modeled biomass for heat (cordwood)
2017,651876.625095,859636.187566
2018,712935.775095,900750.167724
2019,796609.425095,958680.196727
2020,839576.975095,986603.857714
2021,866714.375095,1002912.637
2022,889328.875095,1015965.17139
2023,902897.575095,1022415.09704
2024,916466.275095,1028948.99867
2025,930034.975095,1035564.90807
2026,948126.575095,1045605.20324
2027,963956.725095,1054051.55711
2028,977525.425095,1060902.13666
2029,993355.575095,1069499.45185
2030,1004662.8251,1074825.30454
2031,1022754.4251,1085238.73771
2032,,
2033,,
2034,,
2035,,
2036,,
