year,Base case cost,Modeled residential energy efficiency
2017,337467.552625,346475.384875
2018,357961.174999,363722.844367
2019,376722.454651,378495.429146
2020,385818.832664,385085.699561
2021,399342.666733,396643.70054
2022,403986.233325,399518.657556
2023,415474.416856,409434.845418
2024,417843.888945,410428.34042
2025,421398.09708,412459.581929
2026,433148.568972,422710.743282
2027,445042.107244,433128.072671
2028,448123.169339,434841.092776
2029,451820.443852,437106.750057
2030,462731.92345,446779.34089
2031,466500.731153,449159.057279
2032,470897.673473,452101.819993
2033,483979.689681,463749.694078
2034,488460.087389,466815.517522
2035,491660.371466,468791.549946
2036,496140.769174,471895.143996
