year,annotation,diesel generation efficiency
2002,,10.68
2003,,10.27
2004,,9.76
2005,,10.63
2006,,10.81
2007,,11.93
2008,,11.77
2009,,11.77
2010,,11.65
2011,,12.25
2012,,12.04
2013,,11.43
2016,start of forecast,11.91
2017,,11.91
2018,,11.91
2019,,11.91
2020,,11.91
2021,,11.91
2022,,11.91
2023,,11.91
2024,,11.91
2025,,11.91
2026,,11.91
2027,,11.91
2028,,11.91
2029,,11.91
2030,,11.91
2031,,11.91
2032,,11.91
2033,,11.91
2034,,11.91
2035,,11.91
2036,,11.91
2037,,11.91
2038,,11.91
2039,,11.91
2040,,11.91
