year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,33886.1761536,25075.7703536
2018,33886.1761536,25075.7703536
2019,33886.1761536,25075.7703536
2020,33886.1761536,25075.7703536
2021,33886.1761536,25075.7703536
2022,33886.1761536,25075.7703536
2023,33886.1761536,25075.7703536
2024,33886.1761536,25075.7703536
2025,33886.1761536,25075.7703536
2026,33886.1761536,25075.7703536
2027,33886.1761536,25075.7703536
2028,33886.1761536,25075.7703536
2029,33886.1761536,25075.7703536
2030,33886.1761536,25075.7703536
2031,33886.1761536,25075.7703536
