year,Base case cost,Crooked creek (getmuna creek tributary)
2021,93614.6532146,1164779.41634
2022,96368.0253679,1142382.75208
2023,98120.1712837,1120465.86812
2024,99956.3126892,1099386.87794
2025,101714.338289,1078495.09908
2026,104322.398245,1058468.63657
2027,106086.30353,1038554.7481
2028,107598.222345,1019096.10198
2029,109979.494479,1000488.31839
2030,111243.626599,981925.384311
2031,113896.204165,964234.70066
2032,116179.201576,946600.977448
2033,118854.457924,929776.056257
2034,121399.521263,912989.480281
2035,122926.559266,896535.098837
2036,125630.37408,880930.700957
2037,127162.451813,865248.139989
2038,130142.611789,850430.65325
2039,131935.915494,835502.334006
2040,135195.780451,821440.430039
2041,135195.780451,807083.894226
2042,135637.596727,793505.65566
2043,135637.596727,779814.196597
2044,136079.413003,766885.447261
2045,136079.413003,753828.254523
2046,136521.229279,741518.905462
2047,136963.045555,729508.412323
2048,136963.045555,717347.95359
2049,137404.861831,705914.321702
2050,137404.861831,694317.204692
