year,Base case cost,Modeled water and wastewater efficiency
2017,52728.9188608,42336.6599441
2018,55817.1122692,44263.0374007
2019,59963.5907449,46903.485137
2020,61889.9054243,48060.8178181
2021,63237.3973166,48829.3840095
2022,64294.9435107,49407.3046555
2023,64967.2263284,49728.5234455
2024,65542.9401426,49988.0206928
2025,66214.5066954,50315.1748254
2026,67077.0450493,50775.7663427
2027,67747.6155881,51108.6173795
2028,68321.6851761,51379.5635163
2029,69087.6848749,51782.247847
2030,69565.0850888,51993.743813
2031,70426.4603524,52465.9481575
