year,Base case cost,Port alsworth hydropower preconstruction phase -- tanalian falls,Lachbuna lake
2021,348519.544022,,20985596.5512
2022,355794.14551,,20565088.3377
2023,360640.626072,,20154479.6337
2024,364603.709875,,19754245.9637
2025,369227.307645,,19363188.8631
2026,375633.96775,,18981372.3297
2027,380924.587014,,18608200.9838
2028,384892.551462,,18244098.3857
2029,392286.728755,,17889412.7813
2030,396090.378152,,17542802.9871
2031,402563.740407,,17203620.2384
2032,408552.291917,,16871876.9585
2033,414540.843427,,16547872.2299
2034,420015.300322,,16230910.5903
2035,424002.787351,,15922359.8865
2036,431175.708733,,15620844.5783
2037,435700.06672,,15327076.0096
2038,442235.250479,,15039673.6343
2039,447449.406303,,14759340.9231
2040,454795.590586,,14484337.9196
2041,454795.590586,,14217622.0223
2042,455349.543802,,13957711.2319
2043,455349.543802,,13703351.1317
2044,455903.497018,,13455506.5487
2045,456457.450235,,13213483.8072
2046,457011.403451,,12977146.4568
2047,457011.403451,,12745807.2936
2048,457565.356667,,12520444.0953
2049,457565.356667,,12299821.875
2050,458119.309884,,12084924.4426
2051,458119.309884,,11874522.6992
2052,458119.309884,,11669052.2465
2053,458119.309884,,11468397.5083
2054,458119.309884,,11272445.6138
2055,458119.309884,,11081086.3425
2056,458119.309884,,10894212.0543
2057,458119.309884,,10711717.6325
2058,458119.309884,,10533500.4229
2059,458119.309884,,10359460.1807
2060,458119.309884,,10189499.0054
2061,458119.309884,,10023521.2953
2062,458119.309884,,9861433.68788
2063,458119.309884,,9703145.00826
2064,458119.309884,,9548566.221
2065,458119.309884,,9397610.37292
2066,458119.309884,,9250192.55203
2067,458119.309884,,9106229.83752
2068,458119.309884,,8965641.24797
2069,458119.309884,,8828347.70387
2070,458119.309884,,8694271.97758
