year,Base case cost,Modeled solar power (pv)
2016,234853.387369,240277.304575
2017,268829.184636,273456.221198
2018,291947.173487,295986.362302
2019,323651.843911,326957.726148
2020,338599.632902,341496.700865
2021,348519.544022,351099.216609
2022,355794.14551,358110.390635
2023,360640.626072,362734.472839
2024,364603.709875,366503.643
2025,369227.307645,370926.67862
2026,375633.96775,377114.900742
2027,380924.587014,382203.560204
2028,384892.551462,385996.876935
2029,392286.728755,393187.453211
2030,396090.378152,396836.500032
2031,402563.740407,403115.518677
2032,408552.291917,408914.383679
2033,414540.843427,414717.807982
2034,420015.300322,420011.601275
2035,424002.787351,423854.598003
