year,annotation,diesel generation efficiency
2002,,11.93
2003,,12.15
2004,,12.34
2005,,12.38
2006,,11.5
2007,,11.3
2008,,12.02
2009,,11.8
2010,,11.7
2011,,12.15
2012,,11.99
2013,,11.95
2014,,12.47
2015,,12.46
2016,start of forecast,12.29
2017,,12.29
2018,,12.29
2019,,12.29
2020,,12.29
2021,,12.29
2022,,12.29
2023,,12.29
2024,,12.29
2025,,12.29
2026,,12.29
2027,,12.29
2028,,12.29
2029,,12.29
2030,,12.29
2031,,12.29
2032,,12.29
2033,,12.29
2034,,12.29
2035,,12.29
2036,,12.29
2037,,12.29
2038,,12.29
2039,,12.29
2040,,12.29
