year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2002,,2.1,
2003,,2.23,
2004,,2.58,
2005,,3.19,
2006,,3.98,
2007,,4.14,
2008,,5.35,
2009,,4.15,
2010,,4.51,
2011,,5.1,
2012,,5.42,
2013,,5.1,
2014,,4.93,
2015,,4.18,
2016,start of forecast,3.56,4.84
2017,,4.07,5.35
2018,,4.42,5.7
2019,,4.9,6.18
2020,,5.12,6.4
2021,,5.27,6.55
2022,,5.38,6.66
2023,,5.46,6.74
2024,,5.52,6.8
2025,,5.59,6.87
2026,,5.68,6.96
2027,,5.76,7.04
2028,,5.82,7.1
2029,,5.91,7.19
2030,,5.96,7.24
2031,,6.05,7.33
2032,,6.14,7.42
2033,,6.23,7.51
2034,,6.32,7.6
2035,,6.38,7.66
2036,,6.48,7.76
2037,,6.54,7.82
2038,,6.63,7.91
2039,,6.7,7.98
2040,,6.81,8.09
