year,Base case diesel consumed,Modeled transmission and interties
2021,66132.7408011,0.0
2022,66132.7408011,0.0
2023,66051.3967165,0.0
2024,66051.3967165,0.0
2025,66051.3967165,0.0
2026,66132.7408011,0.0
2027,66132.7408011,0.0
2028,66132.7408011,0.0
2029,66376.773055,0.0
2030,66458.1171396,0.0
2031,66539.4612242,0.0
2032,66539.4612242,0.0
2033,66539.4612242,0.0
2034,66458.1171396,0.0
2035,66458.1171396,0.0
2036,66539.4612242,0.0
2037,66620.8053088,0.0
2038,66702.1493935,0.0
2039,66783.4934781,0.0
2040,66783.4934781,0.0
