year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,13200.97,643810.0,643810.0
2004,,13200.97,646437.0,646437.0
2005,,13200.97,628383.0,628383.0
2006,,13200.97,627488.0,627488.0
2007,,13200.97,622816.0,622816.0
2008,,13200.97,607191.0,607191.0
2009,,13200.97,588233.0,588233.0
2010,,13200.97,635007.0,635007.0
2011,,13200.97,664080.0,664080.0
2012,,13200.97,777126.0,777126.0
2013,,13200.97,783837.0,783837.0
2014,,13200.97,830156.0,830156.0
2015,,13200.97,882193.0,882193.0
2016,start of forecast,13200.97,811000.0,811000.0
2017,,13200.97,812000.0,812000.0
2018,,13200.97,812000.0,812000.0
2019,,13200.97,812000.0,812000.0
2020,,13200.97,813000.0,813000.0
2021,,13200.97,813000.0,813000.0
2022,,13200.97,813000.0,813000.0
2023,,13200.97,812000.0,812000.0
2024,,13200.97,812000.0,812000.0
2025,,13200.97,812000.0,812000.0
2026,,13200.97,813000.0,813000.0
2027,,13200.97,813000.0,813000.0
2028,,13200.97,813000.0,813000.0
2029,,13200.97,816000.0,816000.0
2030,,13200.97,817000.0,817000.0
2031,,13200.97,818000.0,818000.0
2032,,13200.97,818000.0,818000.0
2033,,13200.97,818000.0,818000.0
2034,,13200.97,817000.0,817000.0
2035,,13200.97,817000.0,817000.0
2036,,13200.97,818000.0,818000.0
2037,,13200.97,819000.0,819000.0
2038,,13200.97,820000.0,820000.0
2039,,13200.97,821000.0,821000.0
2040,,13200.97,821000.0,821000.0
