year,Base case cost,Modeled biomass for heat (cordwood)
2017,148149.233204,165880.074851
2018,157849.483204,172685.807847
2019,171152.683204,182164.195222
2020,177249.983204,186322.858349
2021,181407.233204,189055.225275
2022,184455.883204,190975.886736
2023,186673.083204,192289.582738
2024,188335.983204,193201.057679
2025,190276.033204,194324.915492
2026,192770.383204,195865.909063
2027,194987.583204,197209.084899
2028,196650.483204,198149.348742
2029,199144.833204,199711.175954
2030,200530.583204,200459.914284
2031,203024.933204,202034.829491
2032,,
2033,,
2034,,
2035,,
2036,,
