year,Base case diesel consumed,Port alsworth hydropower preconstruction phase -- tanalian falls,Lachbuna lake
2021,66132.7408011,0.0,0.0
2022,66132.7408011,0.0,0.0
2023,66051.3967165,0.0,0.0
2024,66051.3967165,0.0,0.0
2025,66051.3967165,0.0,0.0
2026,66132.7408011,0.0,0.0
2027,66132.7408011,0.0,0.0
2028,66132.7408011,0.0,0.0
2029,66376.773055,244.032253879,244.032253879
2030,66458.1171396,325.376338505,325.376338505
2031,66539.4612242,406.720423131,406.720423131
2032,66539.4612242,406.720423131,406.720423131
2033,66539.4612242,406.720423131,406.720423131
2034,66458.1171396,325.376338505,325.376338505
2035,66458.1171396,325.376338505,325.376338505
2036,66539.4612242,406.720423131,406.720423131
2037,66620.8053088,488.064507757,488.064507757
2038,66702.1493935,569.408592383,569.408592383
2039,66783.4934781,650.752677009,650.752677009
2040,66783.4934781,650.752677009,650.752677009
2041,66783.4934781,650.752677009,650.752677009
2042,66864.8375627,732.096761636,732.096761636
2043,66864.8375627,732.096761636,732.096761636
2044,66946.1816473,813.440846262,813.440846262
2045,67027.525732,894.784930888,894.784930888
2046,67108.8698166,976.129015514,976.129015514
2047,67108.8698166,976.129015514,976.129015514
2048,67190.2139012,1057.47310014,1057.47310014
2049,67190.2139012,1057.47310014,1057.47310014
2050,67271.5579859,1138.81718477,1138.81718477
2051,67271.5579859,1138.81718477,1138.81718477
2052,67271.5579859,1138.81718477,1138.81718477
2053,67271.5579859,1138.81718477,1138.81718477
2054,67271.5579859,1138.81718477,1138.81718477
2055,67271.5579859,1138.81718477,1138.81718477
2056,67271.5579859,1138.81718477,1138.81718477
2057,67271.5579859,1138.81718477,1138.81718477
2058,67271.5579859,1138.81718477,1138.81718477
2059,67271.5579859,1138.81718477,1138.81718477
2060,67271.5579859,1138.81718477,1138.81718477
2061,67271.5579859,1138.81718477,1138.81718477
2062,67271.5579859,1138.81718477,1138.81718477
2063,67271.5579859,1138.81718477,1138.81718477
2064,67271.5579859,1138.81718477,1138.81718477
2065,67271.5579859,1138.81718477,1138.81718477
2066,67271.5579859,1138.81718477,1138.81718477
2067,67271.5579859,1138.81718477,1138.81718477
2068,67271.5579859,1138.81718477,1138.81718477
2069,67271.5579859,1138.81718477,1138.81718477
2070,67271.5579859,1138.81718477,1138.81718477
